id,text_latin,text_arab,text_arti
1,Ar Rahman,الرحمن,Yang Maha Pengasih
2,Ar Rahiim,الرحيم,Yang Maha Penyayang
3,Al Malik,الملك,Yang Maha Merajai / Memerintah
4,Al Quddus,القدوس,Yang Maha Suci
5,As Salaam,السلام,Yang Maha Memberi Kesejahteraan
6,Al Mu 'min,المؤمن,Yang Maha Memberi Keamanan
7,Al Muhaimin,المهيمن,Yang Maha Pemelihara
8,Al 'Aziiz,العزيز,Yang Maha Perkasa
9,Al Jabbar,الجبار,Yang Memiliki Mutlak Kegagahan
10,Al Mutakabbir,المتكبر,"Yang Maha Megah, Yang Memiliki Kebesaran"
11,Al Khaliq,الخالق,Yang Maha Pencipta
12,Al Baari ',البارئ,"Yang Maha Melepaskan(Membuat, Membentuk, Menyeimbangkan)"
13,Al Mushawwir,المصور,Yang Maha Membentuk Rupa(makhluknya)
14,Al Ghaffaar,الغفار,Yang Maha Pengampun
15,Al Qahhaar,القهار,Yang Maha Memaksa
16,Al Wahhaab,الوهاب,Yang Maha Pemberi Karunia
17,Ar Razzaaq,الرزاق,Yang Maha Pemberi Rezeki
18,Al Fattaah,الفتاح,Yang Maha Pembuka Rahmat
19,Al 'Aliim,العليم,Yang Maha Mengetahui(Memiliki Ilmu)
20,Al Qaabidh,القابض,Yang Maha Menyempitkan(makhluknya)
21,Al Baasith,الباسط,Yang Maha Melapangkan(makhluknya)
22,Al Khaafidh,الخافض,Yang Maha Merendahkan(makhluknya)
23,Ar Raafi ',الرافع,Yang Maha Meninggikan(makhluknya)
24,Al Mu'izz,المعز,Yang Maha Memuliakan(makhluknya)
25,Al Mudzil,المذل,Yang Maha Menghinakan(makhluknya)
26,Al Samii ',السميع,Yang Maha Mendengar
27,Al Bashiir,البصير,Yang Maha Melihat
28,Al Hakam,الحكم,Yang Maha Menetapkan
29,Al 'Adl,العدل,Yang Maha Adil
30,Al Lathiif,اللطيف,Yang Maha Lembut
31,Al Khabiir,الخبير,Yang Maha Mengenal
32,Al Haliim,الحليم,Yang Maha Penyantun
33,Al 'Azhiim,العظيم,Yang Maha Agung
34,Al Ghafuur,الغفور,Yang Maha Pengampun
35,As Syakuur,الشكور,Yang Maha Pembalas Budi(Menghargai)
36,Al 'Aliy,العلى,Yang Maha Tinggi
37,Al Kabiir,الكبير,Yang Maha Besar
38,Al Hafizh,الحفيظ,Yang Maha Memelihara
39,Al Muqiit,المقيت,Yang Maha Pemberi Kecukupan
40,Al Hasiib,الحسيب,Yang Maha Membuat Perhitungan
41,Al Jaliil,الجليل,Yang Maha Mulia
42,Al Kariim,الكريم,Yang Maha Mulia
43,Ar Raqiib,الرقيب,Yang Maha Mengawasi
44,Al Mujiib,المجيب,Yang Maha Mengabulkan
45,Al Waasi ',الواسع,Yang Maha Luas
46,Al Hakiim,الحكيم,Yang Maha Maka Bijaksana
47,Al Waduud,الودود,Yang Maha Mengasihi
48,Al Majiid,المجيد,Yang Maha Mulia
49,Al Baa'its,الباعث,Yang Maha Membangkitkan
50,As Syahiid,الشهيد,Yang Maha Menyaksikan
51,Al Haqq,الحق,Yang Maha Benar
52,Al Wakiil,الوكيل,Yang Maha Memelihara
53,Al Qawiyyu,القوى,Yang Maha Kuat
54,Al Matiin,المتين,Yang Maha Kokoh
55,Al Waliyy,الولى,Yang Maha Melindungi
56,Al Hamiid,الحميد,Yang Maha Terpuji
57,Al Muhshii,المحصى,Yang Maha Mengalkulasi(Menghitung Segala Sesuatu)
58,Al Mubdi ',المبدئ,Yang Maha Memulai
59,Al Mu'iid,المعيد,Yang Maha Mengembalikan Kehidupan
60,Al Muhyii,المحيى,Yang Maha Menghidupkan
61,Al Mumiitu,المميت,Yang Maha Mematikan
62,Al Hayyu,الحي,Yang Maha Hidup
63,Al Qayyuum,القيوم,Yang Maha Mandiri
64,Al Waajid,الواجد,Yang Maha Penemu
65,Al Maajid,الماجد,Yang Maha Mulia
66,Al Wahiid,الواحد,Yang Maha Tunggal
67,Al Ahad,الاحد,Yang Maha Esa
68,As Shamad,الصمد,"Yang Maha Dibutuhkan, Tempat Meminta"
69,Al Qaadir,القادر,"Yang Maha Menentukan, Maha Menyeimbangkan"
70,Al Muqtadir,المقتدر,Yang Maha Berkuasa
71,Al Muqaddim,المقدم,Yang Maha Mendahulukan
72,Al Mu 'akkhir,المؤخر,Yang Maha Mengakhirkan
73,Al Awwal,الأول,Yang Maha Awal
74,Al Aakhir,الأخر,Yang Maha Akhir
75,Az Zhaahir,الظاهر,Yang Maha Nyata
76,Al Baathin,الباطن,Yang Maha Ghaib
77,Al Waali,الوالي,Yang Maha Memerintah
78,Al Muta'aalii,المتعالي,Yang Maha Tinggi
79,Al Barru,البر,Yang Maha Penderma(Maha Pemberi Kebajikan)
80,At Tawwaab,التواب,Yang Maha Penerima Tobat
81,Al Muntaqim,المنتقم,Yang Maha Pemberi Balasan
82,Al Afuww,العفو,Yang Maha Pemaaf
83,Ar Ra 'uuf,الرؤوف,Yang Maha Pengasuh
84,Malikul Mulk,مالك الملك,Yang Maha Penguasa Kerajaan(Semesta)
85,Dzul Jalaali Wal Ikraam,ذو الجلال و الإكرام,Yang Maha Pemilik Kebesaran dan Kemuliaan
86,Al Muqsith,المقسط,Yang Maha Pemberi Keadilan
87,Al Jamii',الجامع,Yang Maha Mengumpulkan
88,Al Ghaniyy,الغنى,Yang Maha Kaya
89,Al Mughnii,المغنى,Yang Maha Pemberi Kekayaan
90,Al Maani,المانع,Yang Maha Mencegah
91,Ad Dhaar,الضار,Yang Maha Penimpa Kemudharatan
92,An Nafii ',النافع,Yang Maha Memberi Manfaat
93,An Nuur,النور,"Yang Maha Bercahaya(Menerangi, Memberi Cahaya)"
94,Al Haadii,الهادئ,Yang Maha Pemberi Petunjuk
95,Al Badii',البديع,Yang Maha Pencipta Yang Tiada Bandingannya
96,Al Baaqii,الباقي,Yang Maha Kekal
97,Al Waarits,الوارث,Yang Maha Pewaris
98,Ar Rasyiid,الرشيد,Yang Maha Pandai
99,As Shabuur,الصبور,Yang Maha Sabar
